Symbol,Price,Change_%,High,Low,Open,Previous_Close,Volume,Average_Volume,RVOL,Yahoo_Close,Dollar_Volume
AEBI,11.71,3.8121,12.02,11.28,11.28,11.28,249400.0,265944.0,0.94,11.710000038146973,2920474.0
AEHR,72.6,-4.7369,74.3953,70.757,73.04,76.21,1322100.0,2172128.0,0.61,72.5999984741211,95984459.99999999
AEI,1.21,-6.2016,1.3,1.15,1.22,1.29,20500.0,19126.0,1.07,1.2100000381469727,24805.0
AEIS,308.05,-0.3945,309.57,300.62,302.13,309.27,373800.0,1030012.0,0.36,308.04998779296875,115149090.0
AEMD,0.708,1.8705,0.72,0.6835,0.6857,0.695,64600.0,786600.0,0.08,0.7099999785423279,45736.799999999996
AENT,6.01,-2.4351,6.1,5.65,6.07,6.16,10700.0,25060.0,0.43,6.010000228881836,64307.0
AEP,135.43,1.1804,135.55,133.84,133.84,133.85,3220900.0,5334014.0,0.6,135.42999267578125,436206487.0
AEVA,20.99,-4.7208,22.6,20.7,22.05,22.03,1044700.0,2510618.0,0.42,20.989999771118164,21928253.0
AEYE,7.1,-0.2809,7.26,6.965,7.14,7.12,43100.0,146434.0,0.29,7.099999904632568,306010.0
AFBI,22.65,-0.0441,22.67,22.64,22.64,22.66,4400.0,9414.0,0.47,22.649999618530273,99660.0
AFCG,2.87,-1.7123,2.97,2.87,2.93,2.92,77200.0,223796.0,0.34,2.869999885559082,221564.0
AFRM,83.42,-0.4297,86.0,81.92,85.14,83.78,3469000.0,4897790.0,0.71,83.41999816894531,289383980.0
AGEN,3.35,3.3951,3.385,3.1,3.24,3.24,833400.0,796494.0,1.05,3.3499999046325684,2791890.0
AGIO,41.23,-3.6457,42.93,40.26,42.93,42.79,1133800.0,1100626.0,1.03,41.22999954223633,46746574.0
AGNC,11.13,0.542,11.18,11.06,11.12,11.07,12142900.0,15154040.0,0.8,11.130000114440918,135150477.0
AGNT,4.52,-6.6116,4.98,4.51,4.84,4.84,1051200.0,1369210.0,0.77,4.519999980926514,4751424.0
AGPU,7.36,5.5954,7.6,6.62,6.78,6.97,107900.0,325846.0,0.33,7.360000133514404,794144.0
AGYS,108.98,-0.1466,111.34,107.4487,111.03,109.14,171100.0,412434.0,0.41,108.9800033569336,18646478.0
AHCO,10.22,0.5906,10.26,9.945,10.17,10.16,1117200.0,1514918.0,0.74,10.220000267028809,11417784.0
AIAI,10.56,-6.383,11.79,9.855,11.61,11.28,295400.0,400910.0,0.74,10.5600004196167,3119424.0
AIDX,0.58912,1.0497,0.63,0.56,0.607,0.583,86500.0,953310.0,0.09,0.5899999737739563,50958.88
AIFA,1.96,-2.0,2.064,1.93,1.96,2.0,26700.0,202065.0,0.13,1.9600000381469727,52332.0
AIFC,0.5421,-2.5876,0.5655,0.53,0.552,0.5565,525300.0,1772548.0,0.3,0.5400000214576721,284765.13
AIFF,1.15,-7.2581,1.27,1.115,1.24,1.24,145200.0,279232.0,0.52,1.149999976158142,166980.0
AIHS,1.5,4.1667,1.5,1.32,1.4,1.44,22000.0,39596.0,0.56,1.5,33000.0
AIMD,1.89,-1.0471,1.9889,1.83,1.87,1.91,46000.0,442442.0,0.1,1.8899999856948853,86940.0
AIOT,4.24,-0.9346,4.33,4.155,4.33,4.28,702600.0,1673678.0,0.42,4.239999771118164,2979024.0
AIP,34.77,-3.7109,35.7654,34.11,35.46,36.11,396400.0,1141504.0,0.35,34.77000045776367,13782828.000000002
AIRE,1.85,-6.5657,2.05,1.85,2.0301,1.98,65200.0,125010.0,0.52,1.850000023841858,120620.0
AIRG,6.01,2.2109,6.24,5.82,5.86,5.88,95800.0,100196.0,0.96,6.010000228881836,575758.0
AIRJ,4.3,-5.4945,4.56,4.25,4.54,4.55,536300.0,1467742.0,0.37,4.300000190734863,2306090.0
AIRO,6.28,-4.9924,6.705,6.27,6.65,6.61,320500.0,580062.0,0.55,6.28000020980835,2012740.0
AIRS,4.33,0.0,4.5,4.24,4.39,4.33,403200.0,967558.0,0.42,4.329999923706055,1745856.0
AIRT,27.08,0.3335,28.8465,27.08,27.74,26.99,3600.0,2080.0,1.73,27.079999923706055,97488.0
AISP,2.21,-0.4505,2.28,2.19,2.24,2.22,274800.0,678712.0,0.4,2.2100000381469727,607308.0
AIXC,1.02,0.0,1.05,0.991,1.02,1.02,12400.0,89088.0,0.14,1.0199999809265137,12648.0
AKAM,126.19,-2.571,131.075,125.28,130.18,129.52,3038500.0,5482480.0,0.55,126.19000244140625,383428315.0
AKBA,1.4,-2.0979,1.4394,1.36,1.43,1.43,4152400.0,5652984.0,0.73,1.399999976158142,5813360.0
AKTS,27.88,-1.9001,28.645,26.52,27.95,28.42,487200.0,343846.0,1.42,27.8799991607666,13583136.0
ALAB,412.97,-1.0732,421.4199,401.62,409.38,417.45,2159000.0,6163548.0,0.35,412.9700012207031,891602230.0
ALBT,0.2777,-1.7339,0.2833,0.2719,0.277101,0.2826,88500.0,604412.0,0.15,0.27799999713897705,24576.45
ALCO,41.16,1.0061,41.16,40.19,40.77,40.75,18900.0,20786.0,0.91,41.15999984741211,777923.9999999999
ALDX,2.07,-10.0,2.285,2.06,2.28,2.3,1226400.0,1411686.0,0.87,2.069999933242798,2538648.0
ALEC,1.61,-1.5291,1.66,1.475,1.63,1.635,597200.0,765560.0,0.78,1.6100000143051147,961492.0000000001
ALGM,54.87,-4.3743,56.0,53.4836,55.99,57.38,2306300.0,3206526.0,0.72,54.869998931884766,126546681.0
ALGN,179.45,0.7184,181.22,175.0,179.61,178.17,630800.0,1060216.0,0.59,179.4499969482422,113197060.0
ALGS,6.62,-2.2157,6.85,6.34,6.84,6.77,109300.0,192528.0,0.57,6.619999885559082,723566.0
ALGT,111.02,-3.1662,113.67,109.33,113.23,114.65,365700.0,668876.0,0.55,111.0199966430664,40600014.0
ALHC,19.83,-5.7061,20.94,19.545,20.77,21.03,3946600.0,6625410.0,0.6,19.829999923706055,78261078.0
ALKT,17.35,-2.0327,18.36,17.3,18.15,17.71,1047700.0,1991492.0,0.53,17.350000381469727,18177595.0
ALLO,2.0,-4.7619,2.1,1.94,2.1,2.1,7764200.0,8557972.0,0.91,2.0,15528400.0
ALLR,1.165,-2.9167,1.21,1.1101,1.19,1.2,99900.0,213626.0,0.47,1.1649999618530273,116383.5
ALMR,28.42,7.3263,28.49,26.01,26.48,26.48,246900.0,301716.0,0.82,28.420000076293945,7016898.0
ALMS,28.31,-6.5677,30.24,27.4201,30.24,30.3,917100.0,1351210.0,0.68,28.309999465942383,25963101.0
ALMU,17.6,-3.5616,18.18,17.06,17.99,18.25,352100.0,1334706.0,0.26,17.600000381469727,6196960.000000001
ALNT,90.49,0.8245,91.88,88.08,90.15,89.75,242500.0,284888.0,0.85,90.48999786376953,21943825.0
ALNY,298.76,-4.4854,322.49,293.7801,314.71,312.79,2538100.0,1277920.0,1.99,298.760009765625,758282756.0
ALOT,28.52,0.0702,28.54,28.5,28.51,28.5,131100.0,149100.0,0.88,28.520000457763672,3738972.0
ALOY,12.28,-5.3929,13.49,12.26,13.0,12.98,1198200.0,2540764.0,0.47,12.279999732971191,14713896.0
ALP,0.2385,-0.625,0.2429,0.233,0.24,0.24,1658100.0,21215606.0,0.08,0.23899999260902405,395456.85
ALRM,51.5,-0.3676,52.345,51.17,52.19,51.69,354600.0,563644.0,0.63,51.5,18261900.0
ALRS,31.32,1.4577,31.64,30.775,31.0,30.87,172300.0,228370.0,0.75,31.31999969482422,5396436.0
ALT,3.05,-2.2436,3.135,2.95,3.12,3.12,2986200.0,3899528.0,0.77,3.049999952316284,9107910.0
ALTI,3.58,-2.1858,3.705,3.52,3.66,3.66,64100.0,232068.0,0.28,3.5799999237060547,229478.0
ALTO,5.63,-0.7055,5.72,5.41,5.66,5.67,1621400.0,2529458.0,0.64,5.630000114440918,9128482.0
ALXO,2.125,3.1553,2.17,2.0,2.08,2.06,781300.0,1424424.0,0.55,2.125,1660262.5
ALZN,1.18,1.7241,1.23,1.1309,1.1499,1.16,96500.0,168386.0,0.57,1.1799999475479126,113870.0
AMAL,46.66,0.734,46.755,45.78,46.2,46.32,124900.0,144284.0,0.87,46.65999984741211,5827834.0
AMAT,602.5,2.3511,609.22,573.39,578.24,588.66,6271000.0,10072490.0,0.62,602.5,3778277500.0
AMCI,5.19,-1.1429,5.5185,5.03,5.26,5.25,208100.0,92144.0,2.26,5.190000057220459,1080039.0
AMCX,9.92,0.202,10.105,9.51,10.05,9.9,446100.0,545976.0,0.82,9.920000076293945,4425312.0
AMD,557.89,2.0431,560.25,540.05,544.005,546.72,20654300.0,34849044.0,0.59,557.8900146484375,11522827427.0
AMGN,363.39,-0.0633,364.895,361.14,363.08,363.62,1632600.0,2807872.0,0.58,363.3900146484375,593270514.0
AMIX,6.57,1.7028,6.59,6.28,6.28,6.46,11600.0,46099.0,0.25,6.570000171661377,76212.0
AMKR,70.47,-2.342,71.615,69.6101,70.115,72.16,2447600.0,5736778.0,0.43,70.47000122070312,172482372.0
AMLX,17.77,-3.3188,18.335,17.15,18.335,18.38,1068700.0,1436774.0,0.74,17.770000457763672,18990799.0
AMOD,4.16,-0.4785,4.55,4.12,4.22,4.18,39800.0,56882.0,0.7,4.159999847412109,165568.0
AMPG,6.69,1.9817,6.8,6.22,6.57,6.56,1503000.0,5253084.0,0.29,6.690000057220459,10055070.0
AMPH,18.72,-1.5773,19.15,18.605,18.97,19.02,311100.0,658042.0,0.47,18.719999313354492,5823792.0
AMPL,9.18,-2.1322,9.6199,9.06,9.44,9.38,1696300.0,2786510.0,0.61,9.180000305175781,15572034.0
AMRX,17.01,-0.0588,17.155,16.69,16.91,17.02,1733400.0,1945746.0,0.89,17.010000228881836,29485134.000000004
AMSC,35.96,-3.2553,37.72,35.76,37.17,37.17,562400.0,1216058.0,0.46,35.959999084472656,20223904.0
AMSF,34.46,-0.029,34.86,34.235,34.86,34.47,116100.0,239988.0,0.48,34.459999084472656,4000806.0
AMSS,1.62,2.5316,1.6265,1.5001,1.53,1.58,86600.0,749197.0,0.12,1.6200000047683716,140292.0
AMST,1.14,-0.8696,1.1995,1.1103,1.15,1.15,47800.0,3885754.0,0.01,1.1399999856948853,54491.99999999999
AMTX,1.6,-4.7619,1.69,1.51,1.68,1.68,1166900.0,1460652.0,0.8,1.600000023841858,1867040.0
AMZN,245.34,-0.6881,251.03,244.41,249.55,247.04,31624900.0,51190552.0,0.62,245.33999633789062,7758852966.0
ANAB,66.39,-0.3003,68.33,63.5,66.55,66.59,401100.0,624536.0,0.64,66.38999938964844,26629029.0
ANDE,72.21,1.7186,72.5,70.46,70.63,70.99,250400.0,351130.0,0.71,72.20999908447266,18081384.0
ANGI,6.24,-1.8868,6.475,6.2,6.36,6.36,499800.0,1363714.0,0.37,6.239999771118164,3118752.0
ANGO,12.79,-1.0062,12.94,12.55,12.85,12.92,202900.0,337574.0,0.6,12.789999961853027,2595091.0
ANIK,15.6,-3.0454,16.12,14.93,16.12,16.09,46900.0,87988.0,0.53,15.600000381469727,731640.0
ANIP,82.07,-2.0411,85.9,81.97,84.02,83.78,241500.0,358320.0,0.67,82.06999969482422,19819905.0
ANIX,3.06,-4.9689,3.23,2.96,3.22,3.22,192500.0,189106.0,1.02,3.059999942779541,589050.0
ANNA,3.18,6.7114,3.2789,2.97,3.01,2.98,414800.0,448868.0,0.92,3.180000066757202,1319064.0
ANNX,5.8,-2.3569,5.9,5.49,5.9,5.94,2736900.0,3425222.0,0.8,5.800000190734863,15874020.0
ANTX,4.5,-2.8078,4.68,4.28,4.62,4.63,591700.0,316348.0,1.87,4.5,2662650.0
AOUT,14.34,0.4905,14.779,14.16,14.19,14.27,141800.0,100338.0,1.41,14.34000015258789,2033412.0
APA,33.44,0.4506,33.73,32.925,33.35,33.29,3237000.0,6042976.0,0.54,33.439998626708984,108245280.0
APC,19.11,-0.7273,19.7464,18.95,19.18,19.25,93500.0,184164.0,0.51,19.110000610351562,1786785.0
APEI,58.27,0.7609,58.54,56.63,57.89,57.83,172200.0,262172.0,0.66,58.27000045776367,10034094.0
APGE,133.65,0.0599,133.745,133.36,133.46,133.57,787800.0,2961508.0,0.27,133.64999389648438,105289470.0
APLD,31.15,-3.5305,32.1999,30.594513,32.11,32.29,12337600.0,21249014.0,0.58,31.149999618530273,384316240.0
APOG,38.82,-0.1029,39.51,38.82,38.98,38.86,160400.0,265096.0,0.61,38.81999969482422,6226728.0
APP,506.98,-2.5844,534.03,504.19,526.6,520.43,3491300.0,5205012.0,0.67,506.9800109863281,1770019274.0
APPF,175.58,0.154,180.0,174.56,179.03,175.31,195100.0,367878.0,0.53,175.5800018310547,34255658.0
APPN,25.36,0.4754,26.25,25.11,25.58,25.24,669300.0,999892.0,0.67,25.360000610351562,16973448.0
APPS,10.56,-5.7984,11.27,10.365,11.21,11.21,2113200.0,6622960.0,0.32,10.5600004196167,22315392.0
APRE,0.745,2.3352,0.77945,0.7301,0.737,0.728,14500.0,143644.0,0.1,0.7450000047683716,10802.5
APVO,3.94,0.0,3.96,3.79,3.96,3.94,44100.0,61804.0,0.71,3.940000057220459,173754.0
APYX,4.38,-1.7937,4.5,4.34,4.47,4.46,43900.0,184944.0,0.24,4.380000114440918,192282.0
AQB,0.98,7.022,0.98,0.9001,0.97,0.9157,21300.0,48722.0,0.44,0.9800000190734863,20874.0
AQMS,2.65,-1.487,2.74,2.57,2.74,2.69,29000.0,113874.0,0.25,2.6500000953674316,76850.0
AQST,4.12,-2.8302,4.255,4.0,4.25,4.24,3054100.0,1935126.0,1.58,4.119999885559082,12582892.0
ARAI,0.42,1.6949,0.4266,0.4051,0.4241,0.413,309400.0,1252054.0,0.25,0.41999998688697815,129948.0
ARAY,0.2413,-8.5985,0.276,0.241,0.2614,0.264,751000.0,3950846.0,0.19,0.23999999463558197,181216.3
ARCB,147.13,-2.466,152.0,145.595,152.0,150.85,402900.0,407100.0,0.99,147.1300048828125,59278677.0
ARCT,6.97,-2.6536,7.22,6.7677,7.22,7.16,405800.0,469696.0,0.86,6.96999979019165,2828426.0
ARDX,5.28,-1.8587,5.39,5.19,5.38,5.38,2335700.0,4333328.0,0.54,5.28000020980835,12332496.0
AREC,1.8,-1.0989,1.84,1.77,1.82,1.82,1479500.0,3252888.0,0.45,1.7999999523162842,2663100.0
ARHS,7.86,-0.5063,8.075,7.845,7.98,7.9,1002700.0,1417714.0,0.71,7.860000133514404,7881222.0
ARKO,8.07,1.2547,8.085,7.7508,7.97,7.97,359700.0,914004.0,0.39,8.069999694824219,2902779.0
ARKR,5.85,-2.1739,5.85,5.85,5.85,5.98,0.0,6500.0,0.0,5.849999904632568,0.0
AROW,40.6,0.1233,40.71,40.15,40.37,40.55,40200.0,88720.0,0.45,40.599998474121094,1632120.0
ARQ,2.32,3.1111,2.355,2.24,2.24,2.25,262800.0,379074.0,0.69,2.319999933242798,609696.0
ARQT,27.74,-3.6136,28.98,26.96,28.66,28.78,1572200.0,1953572.0,0.8,27.739999771118164,43612828.0
ARRY,6.37,-1.3932,6.56,6.24,6.47,6.46,5793700.0,5914534.0,0.98,6.369999885559082,36905869.0
ARTL,1.08,5.8824,1.12,1.02,1.02,1.02,250900.0,1357484.0,0.18,1.0800000429153442,270972.0
ARTNA,33.98,0.1769,34.43,33.5,33.73,33.92,22900.0,39140.0,0.59,33.97999954223633,778141.9999999999
ARTV,9.64,2.4442,9.75,8.8401,9.42,9.41,442000.0,645984.0,0.68,9.640000343322754,4260880.0
ARTW,2.505,-0.5952,2.54,2.47,2.5,2.52,10900.0,15656.0,0.7,2.509999990463257,27304.5
ARVN,8.27,-3.1616,8.54,8.13,8.54,8.54,423200.0,879434.0,0.48,8.270000457763672,3499864.0
ARWR,76.4,-9.0476,84.48,76.18,84.48,84.0,2952100.0,2099182.0,1.41,76.4000015258789,225540440.00000003
ARXS,41.79,-1.763,42.69,41.395,42.69,42.54,202600.0,1070364.0,0.19,41.790000915527344,8466654.0
ASBP,6.01,-0.9885,6.31,5.9601,5.97,6.07,22900.0,5467894.0,0.0,6.010000228881836,137629.0
ASLE,6.02,-1.473,6.12,6.02,6.11,6.11,267900.0,414968.0,0.65,6.019999980926514,1612758.0
ASMB,27.4,-1.6864,27.99,26.45,27.86,27.87,170000.0,223090.0,0.76,27.399999618530273,4658000.0
ASO,46.31,1.825,46.67,45.49,45.85,45.48,939300.0,1592530.0,0.59,46.310001373291016,43498983.0
ASPI,5.01,-2.6239,5.435,4.99,5.27,5.145,3066700.0,5121396.0,0.6,5.010000228881836,15364167.0
ASPS,7.23,1.1189,7.245,7.06,7.06,7.15,4600.0,16748.0,0.27,7.230000019073486,33258.0
ASRV,3.83,0.2618,3.83,3.76,3.76,3.82,2100.0,11154.0,0.19,3.8299999237060547,8043.0
ASST,12.36,-1.9048,13.39,12.33,13.38,12.6,1978300.0,4564982.0,0.43,12.359999656677246,24451788.0
ASTC,9.26,-2.3207,9.56,8.7,9.48,9.48,80100.0,5282178.0,0.02,9.260000228881836,741726.0
ASTE,56.62,1.7248,57.3299,55.435,55.58,55.66,90500.0,227072.0,0.4,56.619998931884766,5124110.0
ASTH,46.875,0.1389,48.49,45.5,47.06,46.81,350100.0,605008.0,0.58,46.880001068115234,16410937.5
ASTI,3.98,-5.4632,4.24,3.92,4.15,4.21,223600.0,1719982.0,0.13,3.9800000190734863,889928.0
ASTS,73.32,-0.758,74.08,71.3,74.08,73.88,7383100.0,23313912.0,0.32,73.31999969482422,541328892.0
ASUR,7.83,0.5135,7.94,7.65,7.8,7.79,85200.0,107082.0,0.8,7.829999923706055,667116.0
ASYS,18.66,-0.0536,19.12,17.79,18.38,18.67,494400.0,453194.0,1.09,18.65999984741211,9225504.0
ATAI,5.17,-3.0019,5.39,5.03,5.35,5.33,7996600.0,6982246.0,1.15,5.170000076293945,41342422.0
ATCX,3.79,8.2857,3.79,3.545,3.59,3.5,13800.0,21050.0,0.66,3.7899999618530273,52302.0
ATEC,9.58,0.7361,9.595,9.325,9.51,9.51,1513700.0,3793728.0,0.4,9.579999923706055,14501246.0
ATER,1.15,-3.3613,1.2,1.13,1.2,1.19,134600.0,568680.0,0.24,1.149999976158142,154790.0
ATEX,100.96,-5.5212,106.995,99.9401,106.85,106.86,351200.0,472894.0,0.74,100.95999908447266,35457152.0
ATHR,4.2413,-1.594,4.44,3.95,4.14,4.31,17900.0,14694.0,1.22,4.241000175476074,75919.27
ATLC,99.26,1.0383,101.13,97.4,98.24,98.24,123600.0,141314.0,0.87,99.26000213623047,12268536.0
ATLN,0.7401,-10.5727,0.8343,0.69,0.7848,0.8276,80940134.0,80940134.0,1.0,0.925000011920929,59903793.1734
ATLO,29.29,0.8609,29.45,29.08,29.08,29.04,48700.0,80492.0,0.61,29.290000915527344,1426423.0
ATLX,3.28,-0.9063,3.39,3.24,3.32,3.31,336600.0,779482.0,0.43,3.2799999713897705,1104048.0
ATNI,23.91,1.2706,24.13,23.555,23.61,23.61,62000.0,75458.0,0.82,23.90999984741211,1482420.0
ATOM,6.63,-2.9283,6.79,6.51,6.76,6.83,573800.0,1782956.0,0.32,6.630000114440918,3804294.0
ATOS,2.37,0.4237,2.39,2.22,2.37,2.36,65700.0,172432.0,0.38,2.369999885559082,155709.0
ATPC,2.72,-3.8869,2.85,2.64,2.846,2.83,29700.0,4098592.0,0.01,2.7200000286102295,80784.0
ATRA,9.76,-1.8602,10.06,9.355,10.06,9.945,66900.0,1753182.0,0.04,9.760000228881836,652944.0
ATRC,34.28,-0.8102,34.81,33.43,34.81,34.56,563600.0,947494.0,0.59,34.279998779296875,19320208.0
ATRO,72.5,0.8906,73.68,69.96,71.18,71.86,874000.0,824889.0,1.06,72.5,63365000.0
ATXG,3.82,-0.5208,3.85,3.69,3.69,3.84,2000.0,40356.0,0.05,3.819999933242798,7640.0
ATYR,0.5444,-6.4122,0.5899,0.535,0.5801,0.5817,1368200.0,3105976.0,0.44,0.5440000295639038,744848.08
AUBN,27.01,0.0,27.5,26.5,27.49,27.01,2300.0,3326.0,0.69,27.010000228881836,62123.0
AUID,1.16,-3.3333,1.22,1.15,1.2,1.2,54700.0,396580.0,0.14,1.159999966621399,63451.99999999999
AUR,6.38,1.5924,6.41,6.04,6.37,6.28,20702500.0,31782858.0,0.65,6.380000114440918,132081950.0
AURA,6.84,-2.2857,7.3,6.64,7.0,7.0,442800.0,729984.0,0.61,6.840000152587891,3028752.0
AUUD,1.32,-2.9412,1.346,1.31,1.33,1.36,85300.0,4426268.0,0.02,1.3200000524520874,112596.0
AVAH,9.7,-1.222,9.9,9.48,9.9,9.82,1746400.0,2047368.0,0.85,9.699999809265137,16940080.0
AVAT,0.539,-6.9085,0.62,0.53,0.574,0.579,391500.0,509622.0,0.77,0.5389999747276306,211018.5
AVAV,144.58,-2.5741,148.41,143.01,147.02,148.4,1340700.0,1698314.0,0.79,144.5800018310547,193838406.00000003
AVBH,32.12,0.0,32.65,32.03,32.1,32.12,249900.0,125164.0,2.0,32.119998931884766,8026787.999999999
AVBP,33.69,0.0594,34.0,32.84,33.65,33.67,436600.0,557222.0,0.78,33.689998626708984,14709053.999999998
AVGO,399.97,-0.2842,402.44,395.7,398.5,401.11,14582400.0,27566148.0,0.53,399.9700012207031,5832522528.0
AVIR,4.99,1.6293,4.995,4.75,4.96,4.91,306500.0,350718.0,0.87,4.989999771118164,1529435.0
AVLN,28.06,-2.9737,28.7,27.07,28.67,28.92,322000.0,545371.0,0.59,28.059999465942383,9035320.0
AVNW,21.65,0.6977,21.74,21.28,21.28,21.5,70700.0,206038.0,0.34,21.649999618530273,1530655.0
AVO,13.33,-0.1498,13.8,13.27,13.48,13.35,1064600.0,1516560.0,0.7,13.329999923706055,14191118.0
AVPT,12.44,-1.8153,12.95,12.29,12.77,12.67,2880800.0,2457126.0,1.17,12.4399995803833,35837152.0
