Symbol,Strategy,Confidence_Score,Research_Score,Rank_Score,Sector,Entry,Current,Return_%,Status,Target_1,Target_2,Stop_Loss
CARG,PULLBACK CONTINUATION,60,98.0,78.0,Consumer Cyclical,32.86,32.86,0.0,WINNING,36.49,40.68,31.32
IRWD,PULLBACK CONTINUATION,60,108.0,78.0,Healthcare,4.24,4.24,-0.12,LOSING,4.88,5.64,3.96
CADL,PULLBACK CONTINUATION,60,103.0,78.0,Healthcare,9.76,9.76,0.0,WINNING,11.36,13.2,9.09
TCRX,WATCH,60,83.0,78.0,Healthcare,1.05,1.05,0.48,WINNING,1.28,1.58,0.95
MLYS,PULLBACK CONTINUATION,60,108.0,78.0,Healthcare,27.56,27.56,-0.0,LOSING,31.11,35.77,25.92
IMUX,PULLBACK CONTINUATION,60,108.0,78.0,Healthcare,14.74,14.74,-0.0,LOSING,15.84,18.72,14.29
TCI,PULLBACK CONTINUATION,60,98.0,78.0,Real Estate,44.97,44.97,0.0,WINNING,50.81,57.24,42.27
ADVB,MOMENTUM,60,95.0,75.0,Healthcare,5.08,5.08,-0.0,LOSING,5.92,7.58,4.75
ODYS,MOMENTUM,60,82.0,77.0,Technology,4.72,4.72,-0.0,LOSING,5.65,6.59,4.25
PRAX,MOMENTUM,60,95.0,75.0,Healthcare,314.06,314.06,-0.0,LOSING,354.17,417.14,299.74
NRIX,PULLBACK CONTINUATION,60,105.0,75.0,Healthcare,21.79,21.79,0.0,WINNING,25.08,29.23,20.67
IDYA,PULLBACK CONTINUATION,60,105.0,75.0,Healthcare,35.92,35.92,-0.0,LOSING,40.58,45.83,34.26
VOR,PULLBACK CONTINUATION,60,105.0,75.0,Healthcare,18.08,18.08,-0.0,LOSING,22.22,26.58,16.53
