Symbol,Entry,Exit,Return_%,Highest,Lowest,Target_1,Target_2,Stop,Result,Sector,Signal,Rank_Score,Momentum_Score,Trend_Score,Relative_Strength,Risk_Reward,RSI,Return_5D,Return_20D,Distance_From_High_%,Above_SMA20,Above_SMA50,Breakout,Overextended,Test_Date,Strategy
DGICB,22.9,25.5,11.35,25.5,22.9,25.5,29.1,21.19,TARGET 1 HIT,Financial Services,BUY,83.0,25,20,19.08155396303075,1.52,55.38,5.14,19.58,-4.58,True,True,False,False,2026-07-16_11-42,AVOID
DIBS,4.76,4.76,0.0,4.87,4.54,5.67,6.57,4.47,OPEN,Communication Services,BUY,83.0,20,20,15.601553963030756,3.19,52.83,0.85,16.1,-12.5,True,True,False,False,2026-07-16_11-42,QUALITY SETUP
BCRX,9.87,11.22,13.68,11.22,9.86,11.22,12.83,9.47,TARGET 1 HIT,Healthcare,BUY,83.0,20,20,15.621553963030754,3.38,52.31,-2.95,16.12,-11.16,True,True,False,False,2026-07-16_11-42,PULLBACK CONTINUATION
LUCY,1.01,1.72,70.3,1.72,0.9,1.72,2.22,0.87,TARGET 1 HIT,Healthcare,BUY,83.0,20,20,13.111553963030753,5.1,54.08,-18.55,13.61,-20.47,True,True,False,False,2026-07-16_11-42,PULLBACK CONTINUATION
EYPT,13.98,13.98,0.04,14.99,13.69,15.92,18.89,13.4,OPEN,Healthcare,BUY,83.0,20,20,11.381553963030754,3.32,52.37,-3.15,11.88,-5.76,True,True,False,False,2026-07-16_11-42,QUALITY SETUP
SGHT,5.36,5.19,-3.17,5.57,5.14,5.89,6.86,5.19,STOP HIT,Healthcare,BUY,83.0,20,20,11.401553963030754,3.14,54.82,-2.19,11.9,-8.22,True,True,False,False,2026-07-16_11-42,QUALITY SETUP
ARHS,7.86,7.57,-3.69,8.36,7.55,8.81,10.03,7.57,STOP HIT,Consumer Cyclical,BUY,83.0,20,20,10.671553963030751,3.24,54.66,-3.56,11.17,-8.82,True,True,False,False,2026-07-16_11-42,QUALITY SETUP
WEN,7.52,7.52,0.06,8.15,7.34,9.45,11.21,7.25,OPEN,Consumer Cyclical,BUY,83.0,20,20,10.321553963030754,7.2,50.11,-4.75,10.82,-15.83,True,True,False,False,2026-07-16_11-42,QUALITY SETUP
INTZ,0.88,0.88,-0.16,0.94,0.8,1.08,1.37,0.77,OPEN,Technology,BUY,83.0,25,20,19.86155396303075,1.77,55.65,8.47,20.36,-6.53,True,True,False,False,2026-07-16_11-42,MOMENTUM
CUE,32.55,45.5,39.78,45.5,30.07,45.5,59.31,28.6,TARGET 1 HIT,Healthcare,BUY,83.0,20,20,19.66155396303075,3.28,55.91,0.17,20.16,-11.5,True,True,False,False,2026-07-16_11-42,QUALITY SETUP
ALTI,3.47,3.47,0.0,4.1,3.45,4.1,4.84,3.27,OPEN,Financial Services,BUY,83.0,20,20,17.531553963030753,3.1,51.3,-4.93,18.03,-13.47,True,True,False,False,2026-07-16_11-42,QUALITY SETUP
PACB,1.54,1.54,0.32,1.68,1.48,1.84,2.21,1.47,OPEN,Healthcare,BUY,83.0,20,20,13.941553963030753,4.27,51.54,-6.93,14.44,-11.21,True,True,False,False,2026-07-16_11-42,QUALITY SETUP
LIF,52.16,52.16,-0.0,57.54,51.72,59.45,68.54,50.41,OPEN,Technology,BUY,83.0,20,20,14.691553963030753,4.16,52.75,-8.06,15.19,-9.62,True,True,False,False,2026-07-16_11-42,PULLBACK CONTINUATION
VRA,3.93,3.93,0.0,4.16,3.75,4.34,5.01,3.73,OPEN,Consumer Cyclical,BUY,83.0,25,20,13.081553963030752,2.04,56.7,3.15,13.58,-2.48,True,True,False,False,2026-07-16_11-42,AVOID
KTCC,3.99,3.85,-3.51,4.25,3.82,4.42,5.25,3.85,STOP HIT,Technology,BUY,83.0,20,20,10.641553963030754,3.07,53.89,-4.55,11.14,-6.34,True,True,False,False,2026-07-16_11-42,QUALITY SETUP
BBIO,81.91,76.36,-6.78,93.42,76.01,93.42,104.51,76.36,STOP HIT,Healthcare,BUY,82.0,25,20,20.76155396303076,2.07,63.68,5.35,21.26,-9.16,True,True,False,False,2026-07-16_11-42,MOMENTUM
NRG,139.03,139.03,-0.0,143.47,135.23,150.97,166.75,134.81,OPEN,Utilities,BUY,80.0,20,20,11.891553963030754,2.83,50.38,-1.4,12.39,-6.92,True,True,False,False,2026-07-16_11-42,AVOID
ENTA,13.84,13.26,-4.19,14.86,13.24,15.51,17.85,13.26,STOP HIT,Healthcare,BUY,80.0,20,20,19.74155396303075,2.86,51.97,-4.62,20.24,-8.41,True,True,False,False,2026-07-16_11-42,AVOID
WLFC,218.45,218.45,-0.0,243.1,214.34,244.62,275.8,209.1,OPEN,Industrials,BUY,80.0,20,20,13.371553963030752,2.8,55.25,-8.95,13.87,-8.95,True,True,False,False,2026-07-16_11-42,AVOID
WDFC,251.91,251.91,0.0,298.9,238.67,298.9,332.1,235.31,OPEN,Basic Materials,BUY,80.0,20,20,11.901553963030754,2.83,61.14,2.22,12.4,-4.91,True,True,False,False,2026-07-16_11-42,AVOID
COGT,37.32,37.32,-0.0,40.89,37.08,40.89,45.74,36.09,OPEN,Healthcare,BUY,80.0,20,20,13.911553963030752,2.9,52.08,-5.38,14.41,-7.87,True,True,False,False,2026-07-16_11-42,PULLBACK CONTINUATION
OCUL,9.85,9.85,0.0,10.94,9.64,10.94,12.57,9.47,OPEN,Healthcare,BUY,80.0,20,20,12.721553963030754,2.83,53.67,1.97,13.22,-6.55,True,True,False,False,2026-07-16_11-42,AVOID
WLYB,50.72,50.72,0.0,52.56,50.66,53.65,55.96,49.56,OPEN,Communication Services,BUY,80.0,20,20,16.421553963030753,2.53,66.45,-5.46,16.92,-5.46,True,True,False,False,2026-07-16_11-42,AVOID
LPCN,2.43,2.43,0.21,2.52,2.35,2.67,3.11,2.34,OPEN,Healthcare,BUY,80.0,20,20,10.181553963030751,2.65,51.28,-1.42,10.68,-4.88,True,True,False,False,2026-07-16_11-42,AVOID
JACK,14.95,13.82,-7.56,16.69,13.78,17.91,22.16,13.82,STOP HIT,Consumer Cyclical,BUY,80.0,20,20,19.68155396303075,2.63,54.48,-5.5,20.18,-14.13,True,True,False,False,2026-07-16_11-42,PULLBACK CONTINUATION
TEM,57.04,57.04,0.0,62.95,56.06,63.11,74.9,53.48,OPEN,Healthcare,BUY,79.0,20,20,14.521553963030753,1.71,53.93,-6.03,15.02,-7.4,True,True,False,False,2026-07-16_11-42,PULLBACK CONTINUATION
OCGN,1.42,1.42,-0.0,1.53,1.4,1.69,1.97,1.36,OPEN,Healthcare,BUY,79.0,20,20,15.891553963030754,4.53,49.33,-4.7,16.39,-14.97,True,True,False,False,2026-07-16_11-42,AVOID
PANW,329.22,329.22,0.0,363.01,314.95,368.17,416.3,305.15,OPEN,Technology,BUY,79.0,20,20,17.281553963030753,1.62,59.53,-7.92,17.78,-7.92,True,True,False,False,2026-07-16_11-42,AVOID
INSM,109.24,119.54,9.43,119.54,109.0,119.54,134.85,102.39,TARGET 1 HIT,Healthcare,BUY,79.0,20,20,12.441553963030753,1.5,51.17,-2.07,12.94,-7.63,True,True,False,False,2026-07-16_11-42,AVOID
RAPP,40.21,40.21,-0.0,43.63,38.48,43.76,51.85,38.32,OPEN,Healthcare,BUY,79.0,25,20,13.701553963030753,1.88,54.04,4.25,14.2,-4.38,True,True,False,False,2026-07-16_11-42,AVOID
TTWO,245.43,265.94,8.36,265.94,242.25,265.94,290.73,234.02,TARGET 1 HIT,Communication Services,BUY,79.0,20,20,15.221553963030754,1.8,56.76,-5.02,15.72,-5.02,True,True,False,False,2026-07-16_11-42,AVOID
KRRO,13.4,13.4,-0.0,15.2,13.22,15.55,19.19,12.79,OPEN,Healthcare,BUY,78.0,20,20,26.76155396303076,3.54,52.27,-4.69,27.26,-8.97,True,True,False,False,2026-07-16_11-42,AVOID
IRWD,4.24,4.88,15.09,4.88,4.22,4.88,5.64,3.96,TARGET 1 HIT,Healthcare,BUY,78.0,20,20,16.171553963030753,2.26,54.25,-3.31,16.67,-11.22,True,True,False,False,2026-07-16_11-42,PULLBACK CONTINUATION
OC,141.03,141.03,-0.0,147.97,136.11,159.91,178.52,133.25,OPEN,Industrials,BUY,78.0,20,20,15.661553963030752,2.43,55.36,-3.93,16.16,-11.28,True,True,False,False,2026-07-16_11-42,AVOID
CARG,32.86,36.49,11.05,36.49,32.47,36.49,40.68,31.32,TARGET 1 HIT,Consumer Cyclical,BUY,78.0,20,20,18.211553963030752,2.36,52.5,-7.85,18.71,-9.33,True,True,False,False,2026-07-16_11-42,PULLBACK CONTINUATION
JRSH,4.63,4.35,-6.05,4.66,4.33,5.47,6.27,4.35,STOP HIT,Consumer Cyclical,BUY,78.0,20,20,28.75155396303075,3.03,62.95,0.37,29.25,-5.57,True,True,False,False,2026-07-16_11-42,AVOID
VANI,1.38,1.66,20.29,1.66,1.26,1.66,1.99,1.22,TARGET 1 HIT,Healthcare,BUY,78.0,25,20,21.621553963030752,1.72,56.82,6.15,22.12,-13.75,True,True,False,False,2026-07-16_11-42,MOMENTUM
XNCR,14.77,14.77,0.0,16.98,14.72,16.98,19.67,14.08,OPEN,Healthcare,BUY,78.0,20,20,21.67155396303076,3.21,54.31,-0.81,22.17,-10.27,True,True,False,False,2026-07-16_11-42,AVOID
JBTM,137.61,137.61,0.0,147.33,134.47,149.54,164.18,132.64,OPEN,Industrials,BUY,78.0,20,20,11.261553963030751,2.4,52.91,-7.05,11.76,-7.05,True,True,False,False,2026-07-16_11-42,AVOID
ATHR,4.12,4.12,-0.0,5.06,3.95,5.37,6.92,3.83,OPEN,Technology,BUY,78.0,20,20,26.27155396303075,4.26,52.43,-16.26,26.77,-16.94,True,True,False,False,2026-07-16_11-42,AVOID
MLYS,27.56,31.11,12.88,31.11,26.77,31.11,35.77,25.92,TARGET 1 HIT,Healthcare,BUY,78.0,20,20,14.621553963030752,2.16,51.25,-5.36,15.12,-9.52,True,True,False,False,2026-07-16_11-42,AVOID
RCUS,28.25,27.36,-3.15,30.86,27.21,31.74,36.44,27.36,STOP HIT,Healthcare,BUY,78.0,20,20,20.74155396303075,3.93,52.53,-5.77,21.24,-9.11,True,True,False,False,2026-07-16_11-42,PULLBACK CONTINUATION
CADL,9.76,9.76,0.0,10.27,9.19,11.36,13.2,9.09,OPEN,Healthcare,BUY,78.0,20,20,19.11155396303075,2.39,58.47,-2.69,19.61,-5.79,True,True,False,False,2026-07-16_11-42,AVOID
TCRX,1.05,1.05,0.48,1.28,1.01,1.28,1.58,0.95,OPEN,Healthcare,BUY,78.0,20,20,13.681553963030751,2.41,52.25,0.48,14.18,-16.27,True,True,False,False,2026-07-16_11-42,AVOID
EDIT,3.11,3.11,-0.03,3.82,2.96,3.82,4.65,2.94,OPEN,Healthcare,BUY,78.0,20,20,26.92155396303076,4.15,50.3,-14.82,27.42,-17.09,True,True,False,False,2026-07-16_11-42,AVOID
TCI,44.97,44.97,0.0,46.92,43.87,50.81,57.24,42.27,OPEN,Real Estate,BUY,78.0,20,20,14.541553963030752,2.16,55.6,-2.98,15.04,-9.79,True,True,False,False,2026-07-16_11-42,AVOID
IMUX,14.74,14.29,-3.05,15.68,14.13,15.84,18.72,14.29,STOP HIT,Healthcare,BUY,78.0,20,20,12.281553963030753,2.42,54.94,-0.81,12.78,-4.35,True,True,False,False,2026-07-16_11-42,AVOID
ALGT,108.4,104.63,-3.48,119.8,103.7,123.63,142.03,104.63,STOP HIT,Industrials,BUY,78.0,20,20,25.49155396303075,4.04,55.35,-6.24,25.99,-9.03,True,True,False,False,2026-07-16_11-42,AVOID
ODYS,4.72,4.25,-9.96,4.72,4.15,5.65,6.59,4.25,STOP HIT,Technology,BUY,77.0,20,20,26.72155396303075,2.0,60.73,12.65,27.22,3.74,True,True,True,False,2026-07-16_11-42,AVOID
ADVB,5.08,5.92,16.54,5.92,4.85,5.92,7.58,4.75,TARGET 1 HIT,Healthcare,BUY,75.0,20,20,26.18155396303075,2.56,53.94,0.1,26.68,-5.05,True,True,False,False,2026-07-16_11-42,AVOID
PRAX,314.06,314.06,-0.0,343.11,307.0,354.17,417.14,299.74,OPEN,Healthcare,BUY,75.0,20,20,26.15155396303075,2.8,50.55,0.18,26.65,-10.41,True,True,False,False,2026-07-16_11-42,AVOID
AAL,16.39,16.32,-0.43,17.76,16.11,18.79,20.95,16.32,STOP HIT,Industrials,BUY,75.0,20,10,11.411553963030752,36.84,52.06,-7.63,11.91,-9.67,False,True,False,False,2026-07-16_11-42,AVOID
COOK,71.54,70.45,-1.52,76.94,64.1,86.59,105.98,70.45,STOP HIT,Consumer Cyclical,BUY,75.0,25,10,11.211553963030754,13.85,53.81,3.8,11.71,-12.76,False,True,False,False,2026-07-16_11-42,AVOID
NRIX,21.79,25.08,15.1,25.08,21.23,25.08,29.23,20.67,TARGET 1 HIT,Healthcare,BUY,75.0,20,20,27.83155396303075,2.94,55.54,-9.36,28.33,-11.75,True,True,False,False,2026-07-16_11-42,AVOID
IDYA,35.92,40.58,12.97,40.58,35.44,40.58,45.83,34.26,TARGET 1 HIT,Healthcare,BUY,75.0,20,20,24.051553963030752,2.81,54.94,-8.76,24.55,-11.33,True,True,False,False,2026-07-16_11-42,AVOID
VOR,18.08,18.08,-0.0,20.95,17.67,22.22,26.58,16.53,OPEN,Healthcare,BUY,75.0,20,20,27.821553963030752,2.67,55.94,-10.05,28.32,-12.19,True,True,False,False,2026-07-16_11-42,AVOID
